vulnerabilityId,versionKey
GHSA-cm5g-3pgc-8rg4,express@3.5.0
GHSA-cm5g-3pgc-8rg4,express@4.0.0
GHSA-gpvr-g6gh-9mc2,express@3.5.0
GHSA-gpvr-g6gh-9mc2,express@4.0.0
GHSA-jj78-5fmv-mv28,express@3.5.0
GHSA-jj78-5fmv-mv28,express@4.0.0
GHSA-qw6h-vgh9-j6wx,express@3.5.0
GHSA-qw6h-vgh9-j6wx,express@4.0.0
GHSA-9qj9-36jm-prpv,fresh@0.0.1
GHSA-jgqf-hwc5-hh37,send@0.0.1
GHSA-m6fv-jmcg-4jfg,send@0.0.1
GHSA-xwg4-93c6-3h42,send@0.0.1
GHSA-9vvw-cc9w-f27h,debug@3.0.0
GHSA-9vvw-cc9w-f27h,debug@0.0.1
GHSA-9vvw-cc9w-f27h,debug@2.2.0
GHSA-9vvw-cc9w-f27h,debug@2.0.0
GHSA-gxpj-cx7g-858c,debug@0.0.1
GHSA-gxpj-cx7g-858c,debug@2.2.0
GHSA-gxpj-cx7g-858c,debug@2.0.0
GHSA-gxpj-cx7g-858c,debug@3.0.0
GHSA-gxpj-cx7g-858c,debug@4.0.0
GHSA-pxg6-pf52-xh8x,cookie@0.0.0
GHSA-3fw8-66wf-pr7m,connect@2.0.0
GHSA-6w62-83g6-rfhj,connect@2.0.0
GHSA-rch9-xh7r-mqgw,connect@2.0.0
GHSA-92vm-wfm5-mxvv,cookie-signature@1.0.0
GHSA-wrvr-8mpx-r7pp,mime@1.0.0
GHSA-wrvr-8mpx-r7pp,mime@1.4.0
GHSA-3fx5-fwvr-xrjg,ms@0.1.0
GHSA-w9mr-4mfr-499f,ms@0.1.0
GHSA-6rw7-vpxm-498p,qs@3.1.0
GHSA-6rw7-vpxm-498p,qs@0.0.1
GHSA-6rw7-vpxm-498p,qs@2.0.0
GHSA-6rw7-vpxm-498p,qs@1.0.0
GHSA-f9cm-p3w6-xvr3,qs@0.0.1
GHSA-gqgv-6jq5-jjj9,qs@3.1.0
GHSA-gqgv-6jq5-jjj9,qs@0.0.1
GHSA-gqgv-6jq5-jjj9,qs@2.0.0
GHSA-gqgv-6jq5-jjj9,qs@1.0.0
GHSA-hrpp-h998-j3pp,qs@3.1.0
GHSA-hrpp-h998-j3pp,qs@0.0.1
GHSA-hrpp-h998-j3pp,qs@2.0.0
GHSA-hrpp-h998-j3pp,qs@1.0.0
GHSA-fwr7-v2mv-hh25,async@2.0.0
GHSA-3rfm-jhwj-7488,loader-utils@1.0.0
GHSA-76p3-8jx3-jpfq,loader-utils@0.1.0
GHSA-76p3-8jx3-jpfq,loader-utils@0.2.14
GHSA-76p3-8jx3-jpfq,loader-utils@1.0.0
GHSA-hhq3-ff78-jv3g,loader-utils@1.0.0
GHSA-9c47-m6qq-7p4h,json5@1.0.0
GHSA-9c47-m6qq-7p4h,json5@0.0.0
GHSA-vh95-rmgr-6w4m,minimist@1.0.0
GHSA-xvch-5gv4-984h,minimist@1.0.0
GHSA-34r7-q49f-h37c,uglify-js@2.2.0
GHSA-c9f4-xj24-8jqx,uglify-js@2.2.0
GHSA-x3m3-4wpv-5vgc,requirejs@0.26.0
GHSA-952p-6rrq-rcjv,micromatch@2.0.0
GHSA-952p-6rrq-rcjv,micromatch@1.0.0
GHSA-93q8-gq69-wqmw,ansi-regex@5.0.0
GHSA-93q8-gq69-wqmw,ansi-regex@4.0.0
GHSA-93q8-gq69-wqmw,ansi-regex@3.0.0
GHSA-grv7-fg5c-xmjg,braces@1.0.0
GHSA-grv7-fg5c-xmjg,braces@3.0.0
GHSA-c4w7-xm78-47vh,y18n@3.0.0
GHSA-23c5-xmqv-rm74,minimatch@3.0.0
GHSA-23c5-xmqv-rm74,minimatch@1.0.0
GHSA-23c5-xmqv-rm74,minimatch@2.0.0
GHSA-23c5-xmqv-rm74,minimatch@0.0.1
GHSA-3ppc-4f35-3m26,minimatch@3.0.0
GHSA-3ppc-4f35-3m26,minimatch@1.0.0
GHSA-3ppc-4f35-3m26,minimatch@2.0.0
GHSA-3ppc-4f35-3m26,minimatch@0.0.1
GHSA-7r86-cg39-jmmj,minimatch@3.0.0
GHSA-7r86-cg39-jmmj,minimatch@1.0.0
GHSA-7r86-cg39-jmmj,minimatch@2.0.0
GHSA-7r86-cg39-jmmj,minimatch@0.0.1
GHSA-f8q6-p94x-37v3,minimatch@3.0.0
GHSA-f8q6-p94x-37v3,minimatch@1.0.0
GHSA-f8q6-p94x-37v3,minimatch@2.0.0
GHSA-f8q6-p94x-37v3,minimatch@0.0.1
GHSA-p9pc-299p-vxgp,yargs-parser@7.0.0
GHSA-p9pc-299p-vxgp,yargs-parser@5.0.0
GHSA-p9pc-299p-vxgp,yargs-parser@4.0.0
GHSA-3jxr-9vmj-r5cp,brace-expansion@1.0.0
GHSA-832h-xg76-4gv6,brace-expansion@1.0.0
GHSA-f886-m6hf-6m8v,brace-expansion@1.0.0
GHSA-7xfp-9c55-5vqj,request@2.11.1
GHSA-p8p7-x288-28g6,request@2.0.0
GHSA-p8p7-x288-28g6,request@2.11.1
GHSA-6chw-6frg-f759,acorn@6.0.0
GHSA-cf4h-3jhx-xvhq,underscore@1.3.2
GHSA-qpx9-hpmf-5gmw,underscore@1.0.3
GHSA-qpx9-hpmf-5gmw,underscore@1.3.2
GHSA-6394-6h9h-cfjg,nwmatcher@1.2.5
GHSA-72xf-g2v4-qvf3,tough-cookie@2.0.0
GHSA-g7q5-pjjr-gqvp,tough-cookie@2.0.0
GHSA-qhv9-728r-6jqg,tough-cookie@2.0.0
GHSA-43f8-2h32-f4cj,hosted-git-info@2.0.0
GHSA-c2qf-rxjj-qqgw,semver@6.0.0
GHSA-c2qf-rxjj-qqgw,semver@4.0.2
GHSA-c2qf-rxjj-qqgw,semver@5.0.0
GHSA-c2qf-rxjj-qqgw,semver@2.0.1
GHSA-c2qf-rxjj-qqgw,semver@4.0.0
GHSA-x6fg-f45m-jf5q,semver@4.0.2
GHSA-x6fg-f45m-jf5q,semver@2.0.1
GHSA-x6fg-f45m-jf5q,semver@4.0.0
GHSA-73rr-hh4g-fpgx,diff@3.0.0
GHSA-73rr-hh4g-fpgx,diff@1.0.0
GHSA-h6ch-v84p-w6p9,diff@3.0.0
GHSA-h6ch-v84p-w6p9,diff@1.0.0
GHSA-5fw9-fq32-wv5p,node-notifier@5.0.0
GHSA-2pr6-76vf-7546,js-yaml@3.0.0
GHSA-52cp-r559-cp3m,js-yaml@3.0.0
GHSA-8j8c-7jfh-h6hx,js-yaml@3.0.0
GHSA-29mw-wpgm-hmr9,lodash@4.0.0
GHSA-35jh-r3h4-6jhm,lodash@4.0.0
GHSA-35jh-r3h4-6jhm,lodash@3.0.0
GHSA-35jh-r3h4-6jhm,lodash@1.0.0
GHSA-35jh-r3h4-6jhm,lodash@2.4.2
GHSA-35jh-r3h4-6jhm,lodash@2.0.0
GHSA-35jh-r3h4-6jhm,lodash@0.1.0
GHSA-35jh-r3h4-6jhm,lodash.template@4.0.0
