name,team,env
checkout-web,payments,production
payments-api,payments,production
ledger-worker,payments,production
marketing-site,growth,production
campaign-service,growth,production
referral-api,growth,staging
events-ingest,data,production
etl-pipeline,data,production
report-builder,data,staging
admin-console,tools,production
oncall-bot,tools,production
design-system,platform,production
build-orchestrator,platform,production
ci-runner,platform,production
gateway,platform,production
docs-portal,tools,staging
search-api,data,production
notification-hub,growth,production
