application,versionKey,range
checkout-web,next@10.0.6,^10.0.6
checkout-web,axios@0.22.0,^0.22.0
checkout-web,jsonwebtoken@5.0.4,^5.0.4
checkout-web,helmet@0.15.0,^0.15.0
payments-api,express@3.5.0,^3.5.0
payments-api,sequelize@4.13.5,^4.13.5
payments-api,jsonwebtoken@5.0.4,^5.0.4
payments-api,pino@4.8.0,^4.8.0
ledger-worker,bull@3.4.7,^3.4.7
ledger-worker,redis@0.8.3,^0.8.3
ledger-worker,knex@0.7.5,^0.7.5
ledger-worker,winston@1.0.1,^1.0.1
marketing-site,next@10.0.6,^10.0.6
marketing-site,tailwindcss@1.8.11,^1.8.11
marketing-site,sharp@0.13.0,^0.13.0
campaign-service,express@3.5.0,^3.5.0
campaign-service,nodemailer@0.6.1,^0.6.1
campaign-service,mongoose@4.8.2,^4.8.2
campaign-service,got@6.7.0,^6.7.0
referral-api,express@3.5.0,^3.5.0
referral-api,axios@0.22.0,^0.22.0
referral-api,lodash@2.4.2,^2.4.2
events-ingest,ws@1.1.4,^1.1.4
events-ingest,socket.io@0.9.10,^0.9.10
events-ingest,pino@4.8.0,^4.8.0
events-ingest,redis@0.8.3,^0.8.3
etl-pipeline,knex@0.7.5,^0.7.5
etl-pipeline,prisma@1.26.6,^1.26.6
etl-pipeline,commander@2.4.0,^2.4.0
etl-pipeline,yargs@3.17.1,^3.17.1
report-builder,puppeteer@18.0.3,^18.0.3
report-builder,sharp@0.13.0,^0.13.0
report-builder,express@3.5.0,^3.5.0
admin-console,react-scripts@1.0.1,^1.0.1
admin-console,axios@0.22.0,^0.22.0
admin-console,passport@0.1.11,^0.1.11
oncall-bot,axios@0.22.0,^0.22.0
oncall-bot,chalk@2.0.1,^2.0.1
oncall-bot,commander@2.4.0,^2.4.0
oncall-bot,got@6.7.0,^6.7.0
design-system,rollup@1.8.0,^1.8.0
design-system,postcss@6.0.5,^6.0.5
design-system,typescript@3.0.1,^3.0.1
build-orchestrator,webpack@1.12.7,^1.12.7
build-orchestrator,babel-loader@6.2.3,^6.2.3
build-orchestrator,semver@4.0.2,^4.0.2
build-orchestrator,rimraf@2.3.4,^2.3.4
ci-runner,jest@21.0.1,^21.0.1
ci-runner,eslint@3.13.1,^3.13.1
ci-runner,yargs@3.17.1,^3.17.1
ci-runner,rimraf@2.3.4,^2.3.4
gateway,express@3.5.0,^3.5.0
gateway,cors@2.2.0,^2.2.0
gateway,helmet@0.15.0,^0.15.0
gateway,ws@1.1.4,^1.1.4
docs-portal,vite@2.8.0,^2.8.0
docs-portal,tailwindcss@1.8.11,^1.8.11
docs-portal,typescript@3.0.1,^3.0.1
search-api,express@3.5.0,^3.5.0
search-api,redis@0.8.3,^0.8.3
search-api,got@6.7.0,^6.7.0
search-api,lodash@2.4.2,^2.4.2
notification-hub,nodemailer@0.6.1,^0.6.1
notification-hub,bull@3.4.7,^3.4.7
notification-hub,pino@4.8.0,^4.8.0
