handle,packageName
lindqvist,express
tanaka,express
ren,express
hoshino,fresh
mbaye,send
nakamura,send
singh,debug
quintero,debug
ren,cookie
oyelaran,mkdirp
okonkwo,buffer-crc32
ilyas,methods
lindqvist,methods
tanaka,methods
quintero,range-parser
tanaka,connect
haddad,merge-descriptors
devora,merge-descriptors
vasquez,merge-descriptors
oyelaran,cookie-signature
ren,mime
aritra,commander
oyelaran,commander
novak,ms
kowalski,qs
okonkwo,qs
vasquez,formidable
okonkwo,webpack
nakamura,esprima
singh,esprima
vasquez,watchpack
ilyas,memory-fs
okonkwo,clone
haddad,clone
devora,clone
nakamura,interpret
nakamura,async
quintero,tapable
novak,loader-utils
vasquez,json5
mbaye,graceful-fs
tanaka,chokidar
ren,chokidar
kowalski,minimist
tanaka,optimist
ren,optimist
mbaye,webpack-core
nakamura,webpack-core
singh,webpack-core
ferreira,uglify-js
petrov,source-map
mbaye,source-map
oyelaran,requirejs
hoshino,requirejs
sokolova,requirejs
tanaka,node-libs-browser
devora,supports-color
vasquez,supports-color
novak,supports-color
hoshino,vm-browserify
novak,console-browserify
ilyas,console-browserify
okonkwo,enhanced-resolve
haddad,enhanced-resolve
devora,enhanced-resolve
quintero,has-flag
novak,buffer-browserify
ilyas,buffer-browserify
lindqvist,zlib-browserify
hoshino,crypto-browserify
quintero,http-browserify
novak,date-now
petrov,base64-js
ilyas,jest
lindqvist,jest
aritra,jest-cli
tanaka,pify
tanaka,slash
oyelaran,is-ci
hoshino,is-ci
sokolova,is-ci
aritra,which
oyelaran,which
kowalski,strip-ansi
quintero,chalk
novak,micromatch
ren,glob
aritra,glob
hoshino,yargs
sokolova,yargs
petrov,yargs
novak,object.omit
ilyas,object.omit
lindqvist,object.omit
novak,escape-string-regexp
ilyas,escape-string-regexp
lindqvist,escape-string-regexp
petrov,extglob
mbaye,extglob
nakamura,extglob
devora,is-glob
mbaye,expand-brackets
nakamura,expand-brackets
singh,expand-brackets
singh,ansi-regex
lindqvist,kind-of
tanaka,kind-of
ren,kind-of
hoshino,braces
sokolova,braces
petrov,braces
singh,ansi-styles
quintero,ansi-styles
ferreira,ansi-styles
